Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Mini Vegan Lemon Poppy Seed Muffins,$5.41,10 oz,55 g (55 g),210," Non-GMO Sugar, Non-GMO Flour, Non-GMO Organic Rice Milk (Filtered Water, Brown Rice (Partially Milled), Expeller-pressed Canola Oil and/or Safflower Oil and/or Sunflower Oil, Tricalcium Phosphate, Sea Salt, Vitamin A Palmitate, Vitamin D2, Vitamin B12), Non-GMO Expeller-pressed Canola Oil, Water, Poppy Seeds, Non-GMO Natural Lemon Flavoring, Salt, Non-GMO Baking Powder (Sodium Phosphate, Sodium Bicarbonate [Baking Soda), Non-GMO Com Starch), Baking Soda (Sodium Bicarbonate).",Wheat
Classic Brownie 4 Count,$7.99,10 oz,1 ea,380," Cane Sugar, Semisweet Chocolate (Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin [An Emulsifier], Natural Vanilla Extract), Eggs, Wheat Flour, Butter (Cream, Natural Flavors), Cocoa (Processed With Alkali), Canola Oil, Salt, Cornstarch, Leavener (Sodium Acid Pyrophosphate, Corn Starch, Sodium Bicarbonate, Mono Calcium Phosphate).","Milk and Dairy, Eggs, Wheat, Soy"
Oatmeal Raisin Cookie 6ct,$6.49,10 oz,1 ea,240," Raisins (Raisins, Sunflower Oil), Rolled Oats, Butter (Cream), Unbleached, Unbromated Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Light Brown Sugar, Sugar, Eggs, Water, Natural Vanilla Flavor, Sea Salt, Cinnamon, Baking Soda., Contains A Bioengineered Food Ingredient.","Eggs, Milk and Dairy, Wheat"
Apple Pie,$13.99,2 lb,1 slice,370," Filling (Apples [Citric Acid, Salt, Ascorbic Acid), Cane Sugar, Tapioca Starch, Cinnamon), Crust (Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Butter [Pasteurized Sweet Cream, Salt], Palm Oil, Water, Cane Sugar, Sea Salt), Topping (Cane Sugar, Eggs [Egg, Citric Acid]). Contains A Bioengineered Food Ingredient.","Eggs, Milk and Dairy, Wheat"
Oatmeal Raisin Mini Cookie 18 Count,$5.99,12 oz,1 ea,90," Unbleached, Unbromated Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Raisins (Raisins, Sunflower Oil), Rolled Oats, Butter (Cream), Light Brown Sugar, Sugar, Eggs, Water, Natural Vanilla Flavor, Sea Salt, Cinnamon, Baking Soda.","Eggs, Milk and Dairy, Wheat"
Cherry Turnover 4 Count,$7.49,12 oz,1 ea,320,"enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, ascorbic acid, folic acid, enzymes), water, cherries (may contain pits), margarine (palm oil, water, canola oil, vinegar, sugar, canola and/or soy lecithin, natural flavor, annatto color, vitamin a palmitate, vitamin d3), sugar, corn starch, salt, citric acid, cellulose gum, elderberry juice for color, natural flavor., contains a bioengineered food ingredient.","Wheat, Soy"
Pecan Pie,$15.99,Unknown,Unknown,Unknown,Unknown,Unknown
Oat-Based Whipped Topping,$3.99,6.25 oz,2 tbsp (6 g),10," Water, Tapioca Syrup, Cane Sugar, Whole Oat Flour, Palm Kernel Oil, Natural Flavor, Gellan Gum, Nitrous Oxide (Whipping Propellant)",Unknown
Chocolate Chip Two-bite® Cookies,$6.69,10.5 oz,3 cookies (30 g),130,"unbleached enriched wheat flour (wheat flour, microbial enzymes, ascorbic acid [dough conditioner], niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), semi-sweet chocolate chips (cane sugar, chocolate liquor, cocoa butter, soy lecithin [emulsifier], vanilla extract), invert cane sugar, cane sugar, organic butter (cream), margarine (expeller pressed palm oil, expeller pressed palm kernel oil, sunflower seed oil, water, salt, monoglycerides [emulsifier], sunflower lecithin [emulsifier], natural flavor, citric acid, vitamin a palmitate, cholecalciferol [vitamin d3]), organic eggs, natural flavor, baking soda (sodium bicarbonate), salt, organic caramel color, beta carotene (for color).","Milk and Dairy, Eggs, Wheat, Soy"
Snickerdoodle Cookie 6 Count,$6.49,10 oz,1 ea,250," Unbleached, Unbromated Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Butter (Cream), Eggs, Cinnamon Sugar Blend (Brown Sugar, Sugar, Cinnamon), Invert Cane Sugar, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Sea Salt, Natural Vanilla Flavor., Contains A Bioengineered Food Ingredient.","Eggs, Milk and Dairy, Wheat"
Organic French Vanilla Pudding,$5.99,7 oz,1 jar (100 g),180," Whole Milk*, Heavy Cream*, Cane Sugar*, Sugared Egg Yolks*, Rice Starch*, Pectin, Vanilla Extract*, Sea Salt, Vanilla Bean Seeds*.","Milk and Dairy, Eggs"
Chocolate Delights Cupcakes,$6.99,10 oz,1 cupcake (71 g),220," Cane Sugar, Water, Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Buttermilk (Cultured Low Fat Milk, Nonfat Milk, Salt, Sodium Citrate, Vitamin A Palmitate, Vitamin D3), Confectioners' Sugar (Cane Sugar, Cornstarch), Cocoa Powder (Cocoa Processed With Alkali), Expeller-pressed Canola Oil, Semisweet Chocolate (Cane Sugar, Chocolate Liuqor, Cocoa Butter, Soy Lecithin [An Emulsifier], Vanilla), Butter (Cream), RSPO Certified Sustainable Palm Oil, Cage-free Eggs, Cream Cheese (Pasteurized Culttured Milk and Cream, Salt, Stabilizers [Guar Gum and Carob Bean Gum]), Baking Soda, Sea Salt, Natural Vanilla Flavor.","Eggs, Milk and Dairy, Soy, Wheat"
