Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Molten Chocolate Fudge Cake,$4.99,4 oz,2 oz (56 g),204,"Butter, Brown Sugar, Dark Chocolate (61%) Unbleached Flour, Fresh Eggs, Water, Vanilla Extract, Fresh Cream, Bicarbonate Soda, Cinnamon, Salt., Sauce: Brown Sugar, Butter, Fresh Cream, Dark Chocolate, Vanilla","Eggs, Milk and Dairy, Soy, Wheat"
Vegan Fudge Brownie,$2.29,2.5 oz,1 brownie (71 g),290," Fair Trade Cane Sugar, Unbleached Flour (Wheat Flour, Malted Barley Flour), Water, Coconut Oil, Fair Trade Cocoa Powder, Semi-sweet Chocolate Chips (Organic Cane Sugar, Unsweetened Chocolate, Cocoa Butter), Salt, Natural Vanilla Flavor With Other Natural Flavors.","Tree Nuts, Wheat"
Choco Dream Crispy Crepes,$4.69,3.5 oz,6 crepes (30 g),150," Milk Chocolate (Sugar*, Cocoa Butter, Whole Milk Powder, Cocoa Paste, Lactose, Soy Lecithin*, Natural Vanilla Flavor*), Unbleached Wheat Flour, Sugar*, Butter, Lactose, Milk Protein, Salt, Barley Malt Extract*, Sodium Carbonate (Leavening), Soy Lecithin*.","Milk and Dairy, Soy, Wheat"
New York Cheesecake 8in,,2 lb,1 slice,530," Cream Cheese (Pasteurized Milk and Cream, Salt, Stabilizers [Carob Bean Gum and/or Xanthan, Locust Bean, and Guar Gums], Cheese Culture), Sugar, Eggs, Lemon Juice, Vanilla (Vanilla Bean Extractives, Water, Ethyl Alcohol), Crumb (Flour [Wheat, Malted Barley], Butter, Sugar, Eggs, Corn Meal, Baking Powder [Monocalcium Phosphate, Sodium Bicarbonate (Baking Soda), Corn Starch], Cocoa Powder, Salt, Cinnamon, Nutmeg), Vanilla Swiss Buttercream (Butter [Cream, Natural Flavorings], Sugar [Organic Cane Sugar], Egg Whites, Vanilla Extract [Water, Organic Alcohol, Vanilla Bean Extractives]), Strawberries, Raspberries, Blueberries, Apricot Glaze (Glucose Syrup, Water, Fructose, Invert Sugar, Apricot Puree, Sugar, Pectin, Natural Flavor, Xanthan Gum, Tetrasodium Pyrophosphate, Natural Color [Paprika], Citric Acid).","Eggs, Milk and Dairy, Wheat"
Chocolate Chip Doughnut Muffins 9 Count,$7.99,9 servings per container,1 muffin (28 g),100," Sugar, Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Butter (Cream, Natural Flavoring), Chocolate Chips (Sugar, Chocolate Liquor, Cocoa Butter, Dextrose, Soy Lecithin (An Emulsifier), Vanilla Extract), Milk (Milk, Vitamin D3), Eggs, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Salt, Cinnamon, Vanilla Extract","Eggs, Milk and Dairy, Soy, Wheat"
Organic S'mores Bunny Grahams,$5.19,7.5 oz,31 cookies (30 g),130,"Best  Organic Wheat Flour, Organic Cane Sugar, Organic Expeller-pressed Sunflower Oil, Organic Whole Wheat Flour (Graham Flour), Organic Corn Flour, Organic Invert Cane Syrup, Organic Honey, Calcium Carbonate, Organic Cocoa Powder, Organic Natural Flavor, Baking Soda, Organic Semi-sweet Chocolate Chips (Organic Cane Sugar, Organic Unsweetene Chocolate, Organic Cocoa Butter, Organic Vanilla Extract), Sea Salt, Mixed Tocopherols (Vitamin E) To Protect Flavor, Organic Color (Organic Annatto).",Wheat
Triple Lemon Cupcakes,$6.99,10 oz,1 cupcake (71 g),230," Cane Sugar, Water, Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Confectioners' Sugar (Cane Sugar, Cornstarch), Cream Cheese (Pasteurized Cultured Milk and Cream, Salt, Stabilizer [Guar Gum and Carob Bean Gum]), Expeller-pressed Canola Oil, Cage-free Eggs, Fresh Lemon Juice, RSPO Certified Sustainable Palm Oil, Butter (Cream), Lemon Peel (Lemon Peel, Cane Sugar, Lemon Oil), Non-fat Powdered Milk, Lemon Extract (Lemon Oil, Alcohol, Water), Egg Yolks (Egg Yolks, Cane Sugar), Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Modified Food Starch, Sea Salt, Citric Acid, Cultured Dextrose.","Milk and Dairy, Eggs, Wheat"
Gluten Free Ginger Snaps,$5.79,8 oz,5 cookies (30 g),140," Gluten Free Flour (Rice Flour, Orgainc Corn Flour, Orgainc Soy Flour, Potato Starch, Corn Starch, Xanthan Gum), Cane Sugar, Canola Oil, Fancy Molasses, Ginger, Soy Lecithin (An Emulsifier), Baking Soda, Sea Salt.",Soy
Pumpkin Pie Half,$7.49,13 oz,1 slice,320," Filling (Pumpkin, Sweetened Condensed Milk [Whole Milk, Sugar], Eggs [Egg, Citric Acid], Cane Sugar, Cinnamon, Ginger, Sea Salt, Allspice], Crust (Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Butter [Pasteurized Sweet Cream, Salt], Palm Oil, Water, Cane Sugar, Sea Salt).","Eggs, Milk and Dairy, Soy, Wheat"
Honey & Oats Wafel Cookies,$4.99,4.64 oz,1 wafel (33 g),120," Wheat Flour, Chicory Root Fiber, Palm Fruit Oil, * Butter, Cane Sugar, Organic Honey, Vegetable Glycerin, Chickpea Flour, Eggs, Sea Salt, Sunflower Lecithin, Oat Fiber, Baking Soda, Vanilla Extract, Monkfruit Extract.","Eggs, Milk and Dairy, Wheat"
Madeleines,$5.99,9 oz,1 cookie (22 g),100," Butter (Cream, Natural Flavor), Sugar, Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Ferrous Sulfate or Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Egg, Contains 2% or Less: Vanilla Extract, Salt, Defatted Soy Flour.","Eggs, Milk and Dairy, Soy, Wheat"
The Complete Crunchy Chocolate Chip Cookies,$3.99,4.25 oz,6 cookies (35 g),160," Protein Blend (Vital Wheat Gluten, Pea Protein), Cane Sugar, Chicory Root Fiber, Palm Fruit Oil, Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Semi-sweet Chocolate Chips (Unsweetened Chocolate, Sugar, Cocoa Butter, Dextrose, Natural Vanilla Extract), Sunflower Oil, Natural Flavor, Salt, Baking Soda.",Wheat
Chocolate Rugelach,$6.99,8 oz,1 oz (28 g),110," Unbleached Enriched Flour (Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid, Malted Barley Flour), Palm Oil and/or Soybean Oil Shortening, Tofu (Organic Whole Soybeans, Water, Calcium Sulfate), Sugar, Filtered Water, Chocolate Filling (Dextrose, Maltodextrin, Water, Corn Syrup, Cocoa (Processed With Alkali), Modified Food Starch, Chocolate Liquor, Salt, Glucono Delta - Lactone), Apple Juice, Natural Flavors, Mono and Diglycerides, Maltodextrin, Blend of Natural Gums (Locust Bean, Guar, Cellulose, Xanthan and Carrageenan), Salt, Potato Flakes, Corn Starch, Turmeric, Soy Lecithin","Soy, Wheat"
Vegan Original Pound Cake,$8.49,14 oz,80 g (80 g),310," Non-GMO Sugar Non-GMO Flour (Wheat, Malted Barley), Non-GMO Organic Rice Milk (Filtered Water, Brown Rice [Partially Milled], Expeller-pressed Canola Oil and/or Safflower Oil and/or Sunflower Oil, Tricalcium Phosphate, Sea Salt, Vitamin A Palmitate, Vitamin D2, Vitamin B12) Non-GMO Expeller-pressed Canola Oil, Water, Salt, Non-GMO Baking Powder (Monocalcium Phosphate, Sodium Bicarbonate [Baking Soda], Non-GMO Com Starch), Baking Soda (Sodium Bicarbonate), Non-GMO Vanilla.",Wheat
Gateau Basque,$24.99,8 servings per container,1 slice,540," Basque Cake (Cream [Whole Milk, Sugar, Eggs, Butter (Cream, Lactic Acid Culture), Modified Corn Starch, Rhum, Natural Bitter Almond Type Flavor (Natural Flavouring Substances, Dextrose, Magnesium Hydroxide Carbonate)], Dough [Wheat Flour, Butter (Cream, Water, Natural Flavouring), Cane Brown Sugar, Sugar, Eggs, Salt, Sodium Acid Pyrophosphate and Sodium Bicarbonate]), Strawberries, Blackberries, Raspberries, Blueberries, Apricot Glaze (Sugar, Water, Glucose Syrup, Glucose Syrup Solids, Apricot Puree Concentrate, Natural Flavor, Pectin, Citric Acid, Sodium Alginate, Agar, Paprika [Color]), Sugar (Dextrose, Corn Starch, Palm Oil, Magnesium Stearate, Natural Flavor).","Eggs, Milk and Dairy, Tree Nuts, Wheat"
Cinnamon Roll Blondie,$2.29,2.5 oz,1 brownie (71 g),280," Fair Trade Cane Sugar, Unbleached Flour (Wheat Flour, Malted Barley Flour), Water, Non GMO Soy Oil, Cinnamon, Salt, Natural Vanilla Flavor With Other Natural Flavors, and Baking Soda.","Soy, Wheat"
Red Velvet Cookies,$3.37,6 oz,2 cookies (28 g),130," Gluten-free Flour (Brown Rice Flour, Potato Starch, Tapioca Flour), White Chocolate Chip (Sugar, Palm Kernel Oil, Palm Oil, Natural Flavor, Sunflower Lecithin Salt), Palm Oil, Brown Sugar, Cane Sugar, Fructose, Brown Rice Syrup, Beet Juice Concen Trate (Beet Juice Color, Citric Acid)., Cocoa Powder, Water, Egg Replacer (Potato Starch, Tapioca Flour, Leavening [Calcium Lactate, Calcium Carbonate, Cream of Tartar], Cellulose Gum, Modified Cellulose), Molasses, Prebiotic from Non-GMO Tapioca Starch, Vanilla Extract, Grape Juice, Rice Syrup, Baking Soda, Salt, Cocoa Extract, Xanthan Gum, Sunflower Lecithin, *Calcium Lactate.",Unknown
Apple Brown Butter Cookie 4 Count,$7.49,Unknown,Unknown,Unknown,Unknown,Unknown
Confetti Birthday Cupcakes,$6.99,10 oz,1 cupcake (71 g),300,"confectioners' sugar (cane sugar, cornstarch), cane sugar, enriched unbleached flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), water, rspo certified sustainable palm oil (palm oil, vegetable mono & diglycerides), rainbow confetti sprinkles (cane sugar, rice flour, palm oil, palm kernel oil, cornstarch, cellulose gum, carrageenan, vegetable juice [for color], beta carotene [for color], turmeric [for color], spirulina [for color], annatto [for color]), butter (cream), cage-free eggs, expeller-pressed canola oil, non-fat powdered milk, baking powder (sodium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate), modified tapioca starch, sea salt, natural vanilla flavor.","Milk and Dairy, Eggs, Wheat"
Organic Einkorn Cookies,$5.29,8.8 oz,2 cookies (22 g),110," Organic Elinkorn Flour, Organic Cane Sugar, *Organic Palm Fruit Oil, Organic Eggs, Organic Cocoa, *Leavening (Monocalcium Phosphate, Baking Soda), Salt","Eggs, Wheat"
Classic Chocolate Cake,$4.99,4.5 oz,128 g (128 g),550,"Cake: Gluten-free Flour Mix (White Rice Flour, Brown Rice Flour, Potato Starch, Sorghum Flour, Tapioca Flour, Xanthan Gum), Granulated Sugar, Coconut Beverage [Organic Coconut Milk (Filtered Water, Organic Coconut Cream), Organic Cane Sugar, Organic Guar Gum, Tricalcium Phosphate, Magnesium Phosphate, Xanthan Gum, L-selenomethionine (Selenium), Vitamin A Acetate, Vitamin D-2, Zinc Oxide, Vitamin B-12), Canola Oil, Cocoa Powder (Cocoa Processed With Alkali), Egg, Bittersweet Belgian Chocolate (Unsweetened Chocolate, Sugar, Cocoa, Soy Lecithin, Natural Vanilla Flavor, Baking Soda), Lemon Juice, Egg Yolk, Baking Soda, Espresso Powder, Vanilla Extract, Baking Powder, Salt., Frosting: Confectioner Sugar (Sugar, Cornstarch), Vegan Butter (Vegetable Oil Blend (Palm Fruit, Canola and Olive Oil), Water, Salt, Natural Flavor (Derived from Corn), Sunflower Lecithin, Lactic Acid (Non-dairy), Annatto Extract (Color)], Coconut Milk (Organic Coconut, Water), Cocoa Powder (Cocoa Processed With Alkali), Organic Palm Oil, Vanilla Extract","Eggs, Tree Nuts, Soy"
Classic Brownie Single,$2.75,3 oz,1 ea,380," Cane Sugar, Semisweet Chocolate (Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin [An Emulsifier], Natural Vanilla Extract, Eggs, Wheat Flour, Butter (Cream, Natural Flavors), Cocoa (Processed With Alkali), Canola Oil, Salt, Cornstarch, Leavener (Sodium Acid Pyrophosphate, Corn Starch, Sodium Bicarbonate, Mono Calcium Phoaphate).","Milk and Dairy, Eggs, Wheat, Soy"
Iced Lemon Pound Cake,$8.99,15 oz,0.2 loaf (85 g),320," Sugar, Enriched Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Egg, Butter, Water, Canola Oil, Lemon Juice., Contains 2% or Less of: Baking Powder (Sodium Acid Pyrophosphate, Baking Soda), Corn Syrup, Cornstarch, Guar Gum, Lemon Zest, Modified Cornstarch, Mono and Diglycerides, Natural Flavors, Nonfat Milk, Polysorbate 60, Salt, Soy Flour, Soybean Oil, Vital Wheat Gluten, Whey, Xanthan Gum","Eggs, Milk and Dairy, Soy, Wheat"
Chocolate Cake Glazed Donuts,$7.49,4 servings per container,1 each (28.25 gram),430," Donut (Water, Sugar, Enriched Flour [Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid], Palm Oil, Enriched Flour [Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid], Defatted Soy Flour, Soybean Oil, Agar, Baking Soda [Sodium Bicarbonate], Calcium Carbonate, Calcium Sulfate, Citric Acid, Cocoa Processed With Alkali, Corn Starch, Dextrose, Dried Glucose Syrup, Dried Whole Eggs, Enzymes [Wheat Flour, Enzymes, Salt], High Fat Cocoa, Locust Bean Gum, Mono- and Diglycerides, Monocalcium Phosphate, Natural Flavor, Nonfat Dry Milk, Rapeseed Lecithin, Salt, Sodium Acid Pyrophosphate, Trehalose, Wheat Starch, Xanthan Gum).","Eggs, Milk and Dairy, Soy, Wheat"
Limited Edition Refrigerated Whipped Topping,$3.39,Unknown,Unknown,Unknown,Unknown,Unknown
Birthday Cake Blondie,$2.29,2.5 oz,1 brownie (71 g),270," Sugar, Unbleached Flour (Wheat Flour, Malted Barley Flour), Water, Non-GMO Canola Oil, Sprinkles [Sugar, Rice Flour, Palm & Palm Kernel Oil, Color (Turmeric, Annatto, Beet Juice, Red Cabbage Juice, Beta Carotene)], Natural Flavor (With Caramel Color), Salt, Leavening (Sodium Acid Pyrophosphate, Baking Soda, Monocalcium Phosphate).",Wheat
Chocolate Chip Cookie Dough 6 Count,$5.49,6 servings per container,1 ea,260," Enriched Unbleached Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Brown Sugar, Semisweet Chocolate (Sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin [An Emulsifier], Natural Flavor, Whole Milk Powder), Semisweet Chocolate (Sugar, Chocolate Liquor, Cocoa Butter, Dextrose, Sunflower Lecithin), Butter (Cream [from Milk]), Eggs, Sea Salt, Natural Flavor, Leavening (Baking Soda).","Eggs, Milk and Dairy, Soy, Wheat"
Sugar Cookie Pre-Cut Cookie Dough,$6.69,12 oz,1 cookie (28 g),120,"gluten free flour blend (oat, tapioca, potato starch), cane sugar, palm oil*, filtered water, natural vanilla flavor, sea salt, baking soda.",Unknown
Limited Edition Refrigerated Whipped Topping,$2.17,Unknown,Unknown,Unknown,Unknown,Unknown
Maple Apple Doughnut Muffins,$7.99,9 oz,1 doughnut muffin (30 g),110," Sugar, King Arthur Artisan Wheat Flour (Unbleached, Unbromated Hardspring Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid)(Wheat), Butter (Cream)(Milk), Grade A Milk (Milk, Vitamin D3)(Milk), Cage Free Eggs (Egg), Unsulphered Dried Apples, Maple Syrup, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Natural Maple Extract (Natural Maple Flavor), Cinnamon, Salt, Vanilla Extract (Vanilla Beans Extractives in Water, Alcohol 35%), Nutmeg","Eggs, Milk and Dairy, Wheat"
Brownie Bites,$8.99,10 oz,2 brownies (50 g),190," Sugar, Btw Gluten Free Flour Mix [White Rice Flour, Brown Rice Flour, Potato Starch, Sorghum Flour, Tapioca Flour, Xanthan Gum], Dark Chocolate Chips [Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin, Natural Vanilla Extract], Canola Oil, Eggs, Bittersweet Belgian Chocolate [Chocolate, Sugar, Cocoa Butter, Soy Lecithin [Emulsifier], Vanilla], Egg Yolk, Cocoa Powder, Coconut Oil, Prune Puree, Vanilla Extract, Coffee, Salt","Eggs, Tree Nuts, Soy"
Angel Food Cake,$7.99,4 servings per container,1 slice,150," Angel Food Cake (Sugar, Water, Wheat Starch, Wheat Flour, Dried Egg White, Leavening [Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate Monohydrate], Salt, Natural Flavor, Cellulose Gum, Xanthan Gum, Guar Gum).","Eggs, Wheat"
Dark Chocolate Covered Pretzels,$12.99,1 lb,1 each,130," Natural Dark Confectioners Coating (Sugar, Palm Kernel and Palm Oil, Cocoa Powder, Cocoa [Processed With Alkali], Whey Powder [Milk], Soy Lecithin, Natural Vanilla Powder), Sourdough Pretzel Knots (Unbleached Unbromated Wheat Flour, Water, Canola Oil, Salt, Malt, Yeast, Sodium Hydroxide), Natural Dark Chocolate Vermicelli (Sugar, Cocoa Powder, Cocoa Butter, Soy Lecithin, Vanilla Extract [Water, Ethanol, Propylene Glycol, Natural Vanilla Flavor]).","Milk and Dairy, Wheat, Soy"
Coconut Macaroons,$6.99,8 oz,1 oz (28 g),110,"Coconut (Sulfite Free), Egg Whites, Sugar, Corn Syrup, Vanilla Extract, Concentrated Lemon Juice Extract, Citric Acid, Salt","Eggs, Tree Nuts"
Blueberry Doughnut Muffins,$7.99,9 oz,1 doughnut muffin (28 g),90," Sugar, King Arthur Artisan Wheat Flour (Unbleached, Unbromated Hardspring Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Butter (Cream, Natural Flavoring), Grade A Milk (Milk, Vitamin D3), Dried Blueberries (Blueberries, Sucrose, Sunflower Oil), Cage Free Eggs, Lemon Zest (Lemon Zest, Sugar), Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Salt, Natural Blueberry Extract (Ethyl Alcohol, Natural Flavor), Cinnamon, Vanilla Extract (Vanilla Beans Extractives in Water, Alcohol 35%)","Eggs, Milk and Dairy, Wheat"
Mini Bundt Variety Pack,$12.99,21 oz,1 mini budt cake (105 g),350," Btw Vanilla Batter [Sugar, Btw Gluten Free Flour Mix (White Rice Flour, Brown Rice Flour, Potato Starch, Sorghum Flour, Tapioca Flour, Xanthan Gum), Canola Oil, Coconut Cream, Eggs, Lemon Juice, Baking Powder, Vanilla Extract, Salt, Almond Extract], Btw Vanilla Glaze (Powdered Sugar, Vanilla Extract), Natural Rainbow Sprinkles (Sugar, Corn Starch, Palm Oil, Palm Kernel Oil, Sunflower Lecithin, Natural Vanilla Flavor Wonf, Spirulina For Color, Tumeric For Color, Red Cabbage Juice Color, Annatto For Color, Red Beet Juice Color, Carnauba Wax)","Eggs, Tree Nuts"
Classic Pound Cake,$8.99,14 oz,0.2 loaf (79 g),300," Sugar, Enriched Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Egg, Water, Butter, Canola Oil, Contains 2% or Less of: Baking Powder (Sodium Acid Pyrophosphate, Baking Soda), Cornstarch, Guar Gum, Modified Cornstarch, Mono and Diglycerides, Natural Flavor, Nonfat Milk, Polysorbate 60, Salt, Soy Flour, Soybean Oil, Vital Wheat Gluten, Whey, Xanthan Gum","Eggs, Milk and Dairy, Soy, Wheat"
Homestyle Peanut Butter Chocolate Chunk Cookies,$3.37,8 oz,1 cookies (28 g),120," Peanut Butter (Roasted Peanuts), Unbleached Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Semi-sweet Chocolate Chunks (Sugar, Unsweetened Chocolate, Cocoa Butter, Dextrose, Soy Lecithin, Vanilla Extract), Date Paste, Rice Dextrin, Grape Juice Concentrate, Cane Sugar Palm Oil, Shortening, Invert Cane Sugar, Baking Soda, Salt.","Peanuts, Wheat, Soy"
Chocolate Cake,$22.99,32 oz,1 piece (80 g),300,"Btw Chocolate Batter (Sugar, Btw Gluten Free Flour Mix (White Rice Flour, Brown Rice Flour, Potato Starch, Sorghum Flour, Tapioca Flour, Xanthan Gum), Filtered Water, Coconut Cream, Canola Oil, Cocoa Powder (Cocoa Processed With Alkali), Egg, Bittersweet Belgian Chocolate (Unsweetened Chocolate, Sugar, Cocoa, Soy Lecithin, Natural Vanilla Flavor, Baking Soda), Lemon Juice, Egg Yolk, Baking Soda, Espresso Powder, Vanilla Extract, Baking Powder, Salt, Xanthan Gum), Btw Chocolate Frosting (Powdered Sugar Butter Substitute (Oil Blend (Palm Fruit, Soybean, Canola, Flax, and Olive), Water, Salt, <2% Of Natural Flavor (Plant Derived from Corn), Soy Protein, Soy Lecithin, Lactic Acid (Non-dairy), Annatto Extract (Color)), Coconut Cream, Cocoa Powder (Cocoa Processed With Alkali), Organic Palm Oil, Vanilla Extract), Btw Simple Syrup (Sugar, Filtered Water)","Eggs, Tree Nuts, Soy"
Chocolate Babka,$8.99,16 oz,1 slice (43 g),170,"Enriched Wheat Flour (Iron, Niacin, Thiamin, Mononitrate, Riboflavin, Folic Acid), Sugar, Palm Oil, Water, Eggs, Cocoa (Processed With Alkali), Yeast, Vanilla Flavor, Salt","Eggs, Wheat"
Sprinkle Cake Slice,$4.99,1 servings per container,1 piece (168 g),580,"Cake: Gluten-free Flour Mix (White Rice Flour, Brown Rice Flour, Potato Starch, Sorghum Flour, Tapioca Flour, Xanthan Gum), Granulated Sugar, Canola Oil, Coconut Milk (Filtered Water, Coconut Cream), Eggs, Lemon Juice, Baking Powder, Vanilla Extract, Salt, Almond Extract., Frosting: Organic Palm Oil, Granulated Sugar, Eggs, Vanilla Extract, Salt., Sprinkles (Sugar, Cornstarch, Palm Oil, Dextrin, Soy Lecithin, Color (Turmeric, Annatto, Beet Juice, Vegetable Juice, Beta Carotene), Maltodextrin, Baking Powder, Confectioner's Glaze, Carnauba Wax)","Eggs, Tree Nuts, Wheat, Soy"
Grab&Go Mini Chocolate Chunk Cookie,$3.77,6 servings per container,1 pouch (35 g),170," Unbleached Wheat Flour, Semi-sweet Chocolate (Sugar, Unsweetened Chocolate, Cocoa Butter, Dextrose, Soy Lecithin, Vanilla Extract), Cane Sugar, Safflower Oil, Brown Rice Syrup, Leavening (Baking Soda, Ammonium Bicarbonate), Sea Salt","Soy, Wheat"
Vanilla Sprinkle Cake,$22.99,30 oz,1 piece (80 g),360,"Btw Vanilla Batter (Sugar, Btw Gluten Free Flour Mix (White Rice Flour, Brown Rice Flour, Potato Starch, Sorghum Flour, Tapioca Flour, Xanthan Gum), Canola Oil, Coconut Cream, Eggs, Lemon Juice, Baking Powder, Vanilla Extract, Salt, Xanthan Gum, Allergen-free Almond Extract), Btw Vanilla Chiffon Frosting (Organic Palm Oil, Sugar, Egg, White, Raw, Frozen, Pasteurized, Vanilla Extract, Salt), Natural Rainbow Sprinkles (Sugar, Corn Starch, Palm Oil, Palm Kernel Oil, Sunflower Lecithin, Natural Vanilla Flavor Wonf, Spirulina For Color, Tumeric For Color, Red Cabbage Juice Color, Annatto For Color, Red Beet Juice Color, Carnauba Wax), Btw Simple Syrup (Sugar, Filtered Water)","Eggs, Tree Nuts"
Milk Chocolate Peanut Butter Crispy Crepes,$4.69,3.5 oz,3 pieces (38 g),200," Milk Chocolate (Cane Sugar, Cocoa Butter, Whole Milk Powder, Chocolate Liquor, Soy Lecithin, Natural Vanilla Flavor), Peanuts, Wheat Flour, Sugar, Fructose, Skim Milk Powder, Shea Butter, Inulin, Sea Salt, Coconut Oil, Whole Egg Powder, Sunflower Lecithin.","Milk and Dairy, Eggs, Peanuts, Tree Nuts, Wheat, Soy"
Cake Strawberry Shortcake 8in,,10 servings per container,1 slice,370," Vanilla Cake (Cane Sugar, Enriched Unbleached Flour [Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Water, Expeller-pressed Canola Oil, Eggs, Non-fat Powdered Milk, Natural Vanilla Flavor, Baking Powder [Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate], Sea Salt), Strawberries, Heavy Cream (Pasteurized Heavy Cream), Apricot Glaze (Sugar, Water, Glucose Syrup, Apricot Puree, Glucose Syrup Solids, Pectin, Natural Flavor, Citric Acid, Sodium Alginate, Agar, Paprika [Color]), Powdered Sugar (Sugar, Corn Starch), Vanilla Extract (Water, Alcohol, Cane and/or Corn Sugar, Vanilla Extractives).","Eggs, Milk and Dairy, Wheat"
Butter Croissant,$3.50,1 servings per container,1 each (57 g),330," Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Butter (Cream), Water, Cane Sugar, Yeast, Whole Milk Powder, Eggs, Salt, Wheat Gluten, Ascorbic Acid, Food Enzymes (Xylanase, Amylase).","Eggs, Milk and Dairy, Wheat"
Coconut Cloud Slice Cake,$4.99,5.5 oz,156 g (156 g),580,"Cake: Gluten-free Flour Mix (White Rice Flour, Brown Rice Flour, Potato Starch, Sorghum Flour, Tapioca Flour, Xanthan Gum), Granulated Sugar, Canola Oil, Coconut Beverage (Organic Coconut Milk (Filtered Water, Organic Coconut Cream), Organic Cane Sugar, Organic Guar Gum, Tricalcium Phosphate, Magnesium Phosphate, Xanthan Gum, L-selenomethionine (Selenium), Vitamin A Acetate, Vitamin D-2, Zinc Oxide, Vitamin B-12), Egg, Lemon Juice, Baking Powder, Coconut Water (Glycerin, Alcohol, Natural Coconut Extractive), Vanilla Extract, Salt., Frosting: Confectioner Sugar (Sugar, Cornstarch), Vegan Butter (Oil Blend (Palm Fruit, Soybean, Canola, Flax, and Olive), Water, Salt, Natural Flavor (Derived from Corn), Soy Protein, Soy Lecithin, Lactic Acid (Non-dairy), Annatto Extract (Color)), Cream Cheese Vegan and Non-GMO (Dairy Free Base (Water, Organic Butter Bean, Organic Oat), Vegetable Oil Blend (Coconut and Safflower), Organic Agave Nectar, Gum Arabic, Konjac Root Powder, Sea Salt, Cultured Dextrose, Natural Flavor, Calcium Citrate, Citric and Lactic (Vegan) Acid, Vitamin E, Sunflower Lecithin), Lemon Juice, Vanilla Extract, Almond Extract, Salt., Garnish: Coconut","Eggs, Tree Nuts, Soy"
Homestyle Soft Baked Chocolate Chunk Cookies,$3.37,8 oz,1 cookie (28 g),130," Unbleached Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Palm Oil Shortening, Semi-sweet Chocolate Chunks (Sugar, Unsweetened Chocolate, Cocoa Butter, Dextrose, Soy Lecithin, Vanilla Extract), Date Paste, Rice Dextrin, Grape Juice Concentrate, Cane Sugar, Natural Flavors, Invert Cane Sugar, Baking Soda, Salt.","Soy, Wheat"
Mini No Sugar Added Cheesecake,$2.99,3 oz,85 g (85 g),260,"Cream Cheese (Pasteurized Milk and Cream, Salt, Stabilizers [Carob Bean Gum and/or Xanthan, Locust Bean, and Guar Gums], Cheese Culture), Maltitol, Eggs*, Lemon Juice*, Vanilla., *Non-GMO Ingredient","Eggs, Milk and Dairy"
