Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Organic Superfruit C with Probiotics Wellness Shot 2oz,$3.99,1 servings per container,2 fl oz (59 ml),30," Beet Juice*, Orange Juice*, Ginger Juice*, Lemon Juice*, Acerola Cherry Juice Powder*, Magnesium Ascorbate, Probiotics (Inulin, Baccilus Coagulans Gbi-30 6086)",Unknown
Organic Ginger with Chamomile Tea,$6.09,0.85 oz,Unknown,Unknown,Unknown,Unknown
Organic Mango Apple Orange Baobab Juice,$3.99,32 fl oz,8 fl oz (240 ml),120," Flitered Water, Organic Mango Puree, Organic Apple Juice Concentrate, Organic Orange Juce Concentrate, Organic Lemon Juice Concentrate, Organic Mango Flavor, Organic Baobab Fruit Powder, Ascorbic Acid (Vitamin C).",Unknown
Organic Breakfast Blend Tea,$7.19,Unknown,Unknown,Unknown, A Blend of Fair Trade Certified™ Organic Black Teas,Unknown
Organic Smooth Move Chamomile Tea,$6.09,1.13 oz,1 tea bag,2,Senna Chamomile,Unknown
French Roast K-cup,$11.99,0.42 oz,Unknown,Unknown, 100% Arabica Coffee,Unknown
White Cranberry,$8.99,3 servings per container,8 fl oz (240 ml),45," Carbonated Water, Organic Blue Agave, White Tea, White Cranberry Concentrate, Natural Ginger Extract, Natural Citrus Extract With Other Natural Flavors, Citric Acid, Quinine.",Unknown
Elegant Jasmine Green Tea,$2.69,16.9 fl oz,1 bottle,0," Purified Water, Organic Jasmine Green Tea, Ascorbic Acid (Vitamin C).",Unknown
Dry Bitters & Soda,$11.49,48 fl oz,12 fl oz (355 ml),10,"carbonated water, hella aromatic bitters (jamaican allspice, black peppercorns, caraway, cinnamon sticks, cloves, rose hips, angelica root, gentian root, chinese star anise, chamomile), gentian root extract, natural flavors, citric acid, fruit and vegetable juice (for color), paprika oleoresin (for color).",Unknown
Organic Pear Juice,$7.99,32 fl oz,8 fl oz (240 ml),130," Juice from Ripe, Whole Organic Pears; Ascorbic Acid (To Maintain Color).",Unknown
Organic Indonesia Sumatra Coffee,$16.99,12 oz,Unknown,Unknown,Coffee,Unknown
Organic Sweetened Raspberry Black Tea,$2.29,12 fl oz,1 can (355 ml),0," Organic Brewed Black Tea (Purified Water, Organic Black Tea*), Organic Natural Flavors, Citric Acid, Organic Stevia Leaf Extract.",Unknown
Straightshot Probiotic Oat Drink,$4.09,4 servings per container,1 bottle (80 ml),30," Filtered Water, Organic Pear Juice from Concentrate, Organic Oat Flour, Organic Grape Juice from Concentrate, Contains 2% or Less of Organic Rice Starch, Organic Barley Malt, Natural Flavors, Calcium Citrate, Lactobacillus Plantarum 299v",Unknown
Organic La Bailarina Spanish Roast,$6.39,4.6 oz,Unknown,Unknown, Organic Coffee.,Unknown
Mineral Spring Water,$2.59,25.3 fl oz,Unknown,Unknown, Spring Water.,Unknown
Mango Ginger,$4.99,1.12 oz,Unknown,Unknown,"Organic Ginger Root, Organic Cinnamon Bark, Organic Rooibos Leaf**, Organic Mango Flavor, Organic Licorice Root, Organic Fennel Seed, Organic Passion Fruit Flavor, Organic Cardamom Pod, Organic Mango.",Unknown
Earl Grey Tea,$14.99,4.4 oz,Unknown,Unknown," Black Tea*, Natural Oil of Bergamot",Unknown
Organic Green Tea Ginger Tea,$6.09,Unknown,Unknown,Unknown,"Organic Green Tea Leaf, Organic Ginger Rhizome",Unknown
Green Tea Tropical,$9.69,1.32 oz,Unknown,Unknown," Green Tea Leaves, Pineapple Bits, Natural Flavors, Safflower Blossom, Cornflower Blossom",Unknown
Organic Blueberry Hibiscus Tea,$7.59,1.58 oz,Unknown,Unknown,"Organic Rooibos, Organic Hibiscus Flowers, Organic Elderberries, Organic Blueberries, Organic Schisandra Berries.",Unknown
Peach Tea Lemonade,$2.99,20 fl oz,1 bottle (591 ml),240," Filtered Water, Cane Sugar, Lemon Juice from Concentrate, Natural Tea, Peach and Lemon Flavors, Ester Gum.",Unknown
Organic Carrot Beet Cherry Elderberry Juice,$3.99,32 fl oz,8 fl oz (240 ml),90," Filtered Water, Organic Purple Carrot Juice Concentrate, Organic Beet Juice Concentrate, Organic Apple Juice Concentrate, Organic Cherry Juice Concentrate, Organic Blueberry Juice Concentrate, Natural Flavors, Organic Elderberry Juice Concentrate, Organic Echinacea Purpurea Extract, Pectin, Ascorbic Acid (Vitamin C), Citric Acid.",Unknown
RIOT Citrus Plant Based Energy Drink,$3.29,16 fl oz,8 fl oz (240 ml),40," *Brewed Tea (Purified Carbonated Water, *Green Tea, *Tulsi) *Lemon Juice, *White Grape Juice Concentrate, Natural Flavors, *Lime Juice, *Green Tea Extract, Vit. B12 (Vegan), Pink Salt",Unknown
Chamomile Citrus Herbal Tea,$9.69,1.59 oz,Unknown,Unknown," Orange Peel, Rose Hip, Chamomile Flower, Lemongrass, Lemon Myrtle, Hibiscus Flower, Natural Flavors, Spearmint Leaf, Orange Petal",Unknown
Organic Pineapple Mango Italian Sparkling Mineral Water,$1.99,33.8 fl oz,Unknown,Unknown," Carbonated Mineral Water, Organic Natural Flavors.",Unknown
Pure Aloe Organic,$8.89,32 fl oz,8 fl oz (240 ml),10," Organic Aloe Vera Juice, Less Than 1% Organic Lemon Juice.",Unknown
Organic Traditional Tereré Yerba Mate,$3.79,16 fl oz,1 bottle (473 ml),100,"Other  Purified Water, Organic Cane Sugar△, Organic Lemon Juice Concentrate, and Citric Acid., △fair Trade Ingredient",Unknown
Organic Alma De La Tierra Kcup,$12.49,0.45 oz,Unknown,Unknown, Organic Arabica Coffee,Unknown
English Breakfast Leaf Tea,$14.99,4.4 oz,Unknown,Unknown, Black Tea,Unknown
Organic Tomato Juice (32 Fl Oz),$5.69,4 servings per container,8 fl oz (240 ml),45," Filtered Water, Organic Tomato Concentrate, Sea Salt, Organic Lemon Juice Concentrate.",Unknown
Organic Cucumber Mint Sparkling Energy Water,$2.99,12 fl oz,1 can (355 ml),0," Carbonated Purified Water, Organic Natural Flavors, Sea Salt, Organic L-theanine, Organic Caffeine.",Unknown
Organic Throat Coat Eucalyptus Tea,$6.09,Unknown,Unknown,Unknown,Unknown,Unknown
Espresso Capsules Ristretto,$9.79,Unknown,Unknown,Unknown,Coffee,Unknown
Organic Cup Of Calm Tea,$6.09,0.85 oz,Unknown,Unknown,Unknown,Unknown
Spring Water,$2.79,50.7 fl oz,8 fl oz (240 ml),0,Spring Water,Unknown
Pure Pineapple Juice,$9.29,32 fl oz,8 fl oz (240 ml),130,"Pineapple Juice (Filtered Water, Pineapple Juice Concentrate)",Unknown
Organic Elderflower Rose Lemonade,$4.79,8.4 fl oz,8.4 fl oz (250 ml),90," Carbonated Spring Water, Organic Cane Sugar, Fresh Organic Elderflowers, Organic Lemon Juice, Fresh Organic Lemons, Citric Acid, Organic Elderberry Juice from Concentrate, Rose Extract",Unknown
Everyday Detox Dandelion Tea,$6.09,Unknown,Unknown,Unknown,"All Herbal  Organic Dandelion Herb With Root., Proprietary Blend: Organic Fennel Fruit, Organic Peppermint Leaf, Organic Licorice Root",Unknown
Cherry Vanilla,$6.67,12 fl oz,12 fl oz (355 ml),45,"Purified Water, Tart Cherry Juice Concentrate, Cassava Root Fiber, Chicory Root Inulin, Cassava Root Syrup, Apple Juice Concentrate, Jerusalem Artichoke Inulin, Lime Juice, Natural White Cherry Flavor*, Kudzu Root*, Marshmallow Root*, Nopal Cactus*, Slippery Elm Bark*, Natural Vanilla Flavor*, Calendula Flower*, Reb M Stevia*, Himalayan Pink Salt *Extract",Unknown
Organic Grapefruit Soda 4 Pack,$4.99,11.2 fl oz,1 can (330 ml),140," Carbonated Water, Organic Pink Grapefruit Juice from Concentrate, Organic Cane Sugar, Natural Flavor, Citric Acid, Organic Black Carrot Juice (Color).",Unknown
Organic Mountain Spring Jasmine Tea,$9.69,1.32 oz,1 cup (245 ml),2.5, Organic Green Tea Leaves Scented With Jasmine Flower,Unknown
English Breakfast Tea,$5.49,1.41 oz,Unknown,Unknown, Black Tea,Unknown
Classic Lemonade,$2.99,12 fl oz,12 oz (355 ml),100," Water, Cane Sugar, Honey, Lemon Juice Concentrate, Pectin, Lemon Juice Powder, Monk Fruit Extract, Flaxseed Extract.",Unknown
Organic Earl Grey Black Tea,$9.69,1.32 oz,Unknown,Unknown," Organic Black Tea Leaves, Organic Bergamot Oil",Unknown
Organic Ginger Aid Tea,$6.09,Unknown,Unknown,Unknown,"Proprietary Blend (Organic Ginger Rhizome, Organic Blackberry Leaf, Organic Stevia Leaf, Organic Lemon Myrtle Leaf [Backhousia Citrodora]",Unknown
Matcha To Go 10ct,$16.79,1.41 oz,1 packet (4 g),10," Matcha Green Tea, Soluble Corn Fiber",Unknown
Organic Single Serve Coffee Death Cups,$18.49,4.4 oz,Unknown,Unknown,organic coffee,Unknown
Organic Beet Juice,$10.29,32 fl oz,8 fl oz (240 ml),100," Biodynamic Organic Beetroot Juice, Organic Lemon Juice.",Unknown
Love Kombucha - Jasmine Green Tea with Lavender and Chamomile,$7.99,14 fl oz bottle,1 can,50," Brewed Tea (Water, Jasmine Green Tea†, Lavender†, Chamomile† Damiana† Rose†), Cane Sugar†, Live Kombucha Culture (Yeast, Bacteria).",Unknown
Prune Juice,$5.29,32 fl oz,8 fl oz (240 ml),180, Prune Juice,Unknown
Organic Super Fruit Punch Juice,$4.69,59 fl oz,8 fl oz (240 ml),50," Filtered Water, Organic Apple Juice from Concentrate, Organic White Grape Juice from Concentrate, Organic Strawberry Juice from Concentrate, Organic Cranberry Juice from Concentrate, Organic Natural Flavors, Vegetable Juice (For Color), Vitamin C (Ascorbic Acid), Natural Flavors, Citric Acid (Provides Tartness).",Unknown
Organic Turmeric Juice Shot,$4.19,2 fl oz,2 fl oz (59 ml),35," Organic Orange Juice, Organic Turmeric Juice, Organic Lemon Juice, Organic Agave, Organic Black Pepper",Unknown
Espresso Capsules Nerissimo,$9.79,Unknown,Unknown,Unknown,Coffee,Unknown
Elmo's Punch Juice Boxes,$3.79,0.23 fl oz,4.23 fl oz (125 ml),60," Apple Juice (Filtered Water, Apple Juice Concentrate), Pear Juice (Filtered Water, Pear Juice Concentrate), Cherry Juice (Filtered Water, Cherry Juice Concentrate), Pineapple Juice (Filtered Water, Pineapple Juice Concentrate), Orange Juice (Filtered Water, Orange Juice Concentrate), Ascorbic Acid (Vitamin C), Natural Flavor, Citric Acid (Provides Tartness), Vegetable Extract (Color).",Unknown
Purified Water,$2.69,25 fl oz,Unknown,Unknown,Purified Water,Unknown
Organic Breakfast Black Tea,$9.69,1.43 oz,Unknown,Unknown, Fair Trade Certified Tm Organic Black Tea Leaves,Unknown
Decaffeinated Breakfast Tea,$8.79,4.41 oz,Unknown,Unknown, Decaffeinated Black Tea (100%).,Unknown
Single Origin Brazil Medium Roast Coffee,$10.99,10.5 oz,Unknown,Unknown,Coffee,Unknown
Strawberry Apple Juice,$6.29,32 fl oz,8 fl oz (240 ml),120," Apples, Strawberry Juice, Ascorbic Acid (Antioxidant)",Unknown
Organic Gas Relief Tea,$6.09,0.85 oz,Unknown,Unknown,Unknown,Unknown
365 Spring Water 16oz,$1.99,Unknown,Unknown,Unknown, Spring Water.,Unknown
Sparkling Water,$1.29,3 servings per container,12 fl oz (360 ml),0,"spring water, carbon dioxide.",Unknown
Organic Tulsi Sleep Tea,$5.69,1.14 oz,Unknown,Unknown,"Vegan, Vegetarian, Gluten Free",Unknown
Organic Pure Green Tea,$2.69,16.9 fl oz,1 bottle,0," Purified Water, Organic Green Tea, Ascorbic Acid (Vitamin C).",Unknown
Kenya Zuri,$14.79,12 oz,Unknown,Unknown,Whole Bean Coffee,Unknown
Still Spring Water,$3.19,Unknown,12 fl oz (360 ml),0,spring water,Unknown
Decaf People's Green Tea,$14.99,2.65 oz,Unknown,Unknown, Decaffeinated China Green Tea Leaves,Unknown
Grapefruit Juice,$6.29,32 oz,8 fl oz (240 ml),100, Grapefruit Juice.,Unknown
Original Tulsi Holy Basil Tea,$5.69,1.14 oz,Unknown,Unknown," ""Krishna Tulsi (Lea), ""Vana Tulsi (Leaf), ""Rama Tulsi (Leaf):",Unknown
Apple Juice,$16.49,16 servings per container,8 oz (240 ml),140," Pasteurized 100% Apple Juice from U.S. Grown Fresh Apples, Natural Sediment May Occur.",Unknown
Raspberry Tea Lemonade,$2.99,20 fl oz,8 fl oz (240 ml),96," Filtered Water, Cane Sugar, Lemon Juice from Concentrate, Natural Tea, Raspberry and Lemon Flavors, Ester Gum",Unknown
Taylors Scottish Breakfast Tea,$8.79,Unknown,Unknown,Unknown, Black Tea (100%),Unknown
Brand 100% Natural Spring Water,$1.29,Unknown,1 bottle (500 ml),0,water,Unknown
Espresso Single Serve Instant Coffee,$6.59,0.1 oz,Unknown,Unknown,Coffee,Unknown
Lime Sparkling Water,,12 fl oz,1 can (355 ml),0," Purified Carbonated Water, Natural Flavors",Unknown
Chamomile Flowers,$6.49,0.8 oz,1 tea bag (1.5 g),1, Chamomile Flowers.,Unknown
Sparkling Rainwater 12oz Glass (Single),$1.79,Unknown,Unknown,Unknown,Contents: Sparkling Rain,Unknown
Apple Juice,$6.79,64 fl oz,8 fl oz (240 ml),110," Apple Juice from Concentrate (Filtered Water, Apple Juice Concentrate), Ascorbic Acid (Vitamin C), Malic Acid (For Tartness)",Unknown
Decaffeinated Green Tea,$3.99,0.91 oz,Unknown,Unknown,Carefully Selected Ingredients Decaffeinated Green Tea,Unknown
Organic Matcha Single Sips Tea,$22.49,1.7 oz,1 stick (3.5 g),15," Organic Matcha, Organic Agave Inulin and Organic Monk Fruit",Unknown
PURE Pomegranate,$11.29,32 fl oz,8 fl oz (240 ml),160,Ingredient: Pomegranate Juice.,Unknown
Mango Fermented Soy Beverage,$5.09,3.5 fl oz,1 container (104 ml),50," Water, Cane Sugar*, Soy Protein Isolate, Lactobacillus Casei Lbc80r, Lactobacillus Rhamnosus CLR2, Lactobacillus Acidophilus Cl1285, Natural Flavors, Inactivated Nutritional Yeast, Pectin, Calcium Citrate., *Organic",Soy
Organic Elderflower Lemonade,$8.29,25.4 fl oz,Unknown,Unknown," Carbonated Spring Water, Organic Cane Sugar, Organic Fresh Steeped Elderflowers, Organic Pressed Lemon Juice, Organic Lemons, Citric Acid.",Unknown
Pleasant Morning Buzz Vienna Roast Whole Coffee Beans,$6.99,10 oz,Unknown,Unknown,Coffee,Unknown
No Nut Butter Cup Protein Shake,$4.39,12 fl oz,12 fl oz (355 ml),240," Water, Owyn Protein Blend (Pea Protein, Organic Pumpkin Seed Protein, Flaxseed Oil), Contains 2% Of Less Of the Following: Sunflower Oil and/Or Safflower Oil, Soluble Fiber, Cocoa Powder, Sunflower Lecithin, Himalayan Pink Sea Salt, Monk Fruit Extract, Greens Blend (Spinach, Kale, Broccoli), Natural Flavor (Peanut-free/Tree Nut-free), Gum Blend (Gellan, Acaia, Guar).",Unknown
Earl Grey Tea,$5.49,1.41 oz,Unknown,Unknown," Black Tea, Natural Flavours, Bergamot Peel",Unknown
Cactus Water,$6.49,33.8 fl oz,8 fl oz (240 mL),20,"Filtered Water, Prickly Pear Cactus Concentrate, Natural Flavor",Unknown
Sleepytime Lavender Herbal Tea,$3.99,Unknown,Unknown,Unknown," Chamomile, Spearmint, Lemongrass, Lavender, Hawthorn, Blackberry Leaves, Orange Blossoms and Tilia Flowers.",Unknown
Cafe Domingo Medium Roast K-cup,$11.99,0.42 oz,Unknown,Unknown, 100% Arabica Coffee,Unknown
Monaco Whole Bean Coffee,$14.79,12 oz,Unknown,Unknown,Coffee,Unknown
Beet Juice,$10.99,32 fl oz,8 fl oz (240 ml),110," Organic Beetroot Juice - Lacto - Fermented (98%), Organic Carrot Juice - Lacto - Fermented (2%)",Unknown
Organic Pacific Rim Vienna Roast Whole Bean Coffee,$7.99,10 oz,Unknown,Unknown,Coffee,Unknown
Just Black Cherry Juice,$8.39,32 fl oz,8 fl oz (240 ml),190," Juice from Ripe, Whole, Black Cherries.",Unknown
Decaffeinated English Breakfast 100% Pure Black Tea,$5.49,1.41 oz,Unknown,Unknown,100% Pure Black Tea,Unknown
Irish Breakfast Tea,$8.79,4.41 oz,Unknown,Unknown, Black Tea (100%).,Unknown
Calamansi sparkling water (can),$2.49,12 fl oz,12 fl oz (355 ml),0," Carbonated Water, Calamansi Puree",Unknown
Brand 100% Natural Spring Water,,Unknown,Unknown,Unknown,water,Unknown
Brand 100% Natural Spring Water,$1.19,Unknown,Unknown,Unknown,water,Unknown
Green Tea Kombucha,$4.99,Unknown,Unknown,Unknown,"Other  Organic Passion Fruit Flavor, Organic Plum Flavor.",Unknown
Organic Lemon Lime Yerba Mate,$2.99,16 fl oz,8 oz (237 ml),30," Purified Sparkling Water, Organic Cane Sugar, Organic Erythritol, Organic Yerbamate Extract, Organic Lemon Juice Concentrate, Citric Acid, Organic Lemon Extract, Organic Lime Extract, Organic Lemon Emulsion, Organic Stevia Extract",Unknown
Mineral Water,$3.19,25.4 fl oz,2 fl oz (360 ml),0," Mineral Water, Carbon Dioxide.",Unknown
Sparkling Water,$1.29,3 servings per container,12 fl oz (355 ml),0,"spring water, co2, natural flavors.",Unknown
Organic Juice Apple Unfiltered,$8.29,32 fl oz,8 fl oz (240 ml),120,Ingredient: Organic Apple Juice.,Unknown
Fuji Apple Juice,$6.29,32 fl oz,8 fl oz (240 ml),120," Apples, Fuji Apples, Ascorbic Acid (Antioxidant)",Unknown
Assam Black Tea,$8.79,4.41 oz,Unknown,Unknown, Black Tea (100%).,Unknown
Decaf Earl Grey Tea 20ct,$5.49,1.23 oz,Unknown,Unknown," Decaffeinated Black Tea, Natural Flavours, Bergamot Peel.",Unknown
Strawberry Lemonade,$4.19,16 fl oz,16 fl oz (470 ml),220," Water, Lemon Juice, Strawberry Puree & Pure Cane Sugar",Unknown
Pineapple Coconut Juice,$5.29,32 fl oz,8 fl oz (240 ml),120," Filtered Water (Sufficient To Reconstitute), Pineapple and Apple Juice Concentrates, Coconut Milk, White Grape Juice Concentrate, Creamed Coconut, Gums (Carrageenan, Xanthan), Natural Flavors.",Tree Nuts
Organic African Nectar Tea,$9.69,1.32 oz,Unknown,Unknown," Fair Trade Certified™ Organic Rooibos Leaves, Natural Flavors, Organic Hibiscus Flower, Organic Marigold Blossom",Unknown
Original Apple Cider (1 Gl),$10.49,8 servings per container,8 fl oz (240 ml),110, Apples,Unknown
Green Tea Tulsi Green Tea,$5.69,Unknown,Unknown,Unknown,"Organic Tulsi Blend Holy Basil (Ocimum Sanctum)(Krishna & Rama Varieties)(Leaf), East Indian Basil (Ocimum Gratissimum)(Vana Variety)(Leaf), Organic Green Tea (Leaf)",Unknown
Ground Coffee Colombia,$10.99,10.5 oz,Unknown,Unknown,Coffee,Unknown
Flatiron Espresso Blend Coffee,$14.19,12 oz,Unknown,Unknown,Coffee,Unknown
Raspberry Fermented Pea Probiotic,$5.09,3.5 fl oz,1 container (104 ml),30," Water, Cane Sugar*, Raspberry Puree*, Pea Protein*, Raspberry Powder*, Inactivated Nutritional Yeast, Carob Bean Gum*, Fruit and Vegetable Extract (Color) *, Natural Flavors, Pectin, Steviol Glycosides*.",Unknown
Organic Apple Pear Ginger Italian Soda,$1.67,25.4 fl oz,12 fl oz (360 ml),170," Carbonated Water, Organic Cane Sugar, Organic Apple Juice from Concentrate, Organic Pear Juice from Concentrate, Malic Acid, Organic Ginger Extract, Natural Flavors, Organic Caramel Color",Unknown
Elegant Jasmine Green Tea,$7.99,67.6 fl oz,12 fl oz (355 ml),0," Purified Water, Organic Jasmine Green Tea, Ascorbic Acid (Vitamin C)",Unknown
Organic Black Iced Tea,$5.49,4.6 oz,Unknown,Unknown, Organic Black Tea.,Unknown
Lemon Ginger Tea,$5.49,1.06 oz,Unknown,Unknown,Unknown,Unknown
Organic Orange Juice (Pulp Free),$3.79,12 fl oz,1 bottle,160, Organic Orange Juice,Unknown
Organic Papaya Juice,$8.99,32 fl oz,8 fl oz (240 ml),110," Organic Papaya Puree, Organic Apple Juice",Unknown
Yorkshire Tea,$5.99,Unknown,Unknown,Unknown, Black Tea / the Noir / Schwarzer Tee / Te Negro,Unknown
Watermelon Lime & Rosemary Sparkling Soda 4pk,$5.99,12 fl oz,12 fl oz (355 ml),40," Carbonated Filtered Water, Organic Juice Blend from Concentrate (Pear, Watermelon and Lime), Natural Flavor, Sea Salt, Citric Acid, Organic Rosemary, Vegetable Juice For Color, Live Probiotic (Bacillus Subtilis).",Unknown
Raspberry Lime Seltzer,$1.09,12 fl oz,1 can (355 ml),9," Carbonated Water, Raspberry Puree, Raspberry Juice, Lime Juice",Unknown
Green Ginger Peach Tea,$12.29,2.65 oz,Unknown,Unknown,"China Green Tea, Natural Peach Flavor and Ginger",Unknown
Chocolate Oat Milk,$5.29,8 servings per container,1 cup (240 ml),150,"Oat Milk (Water, Oats), Cane Sugar., Contains 2% or Less of: Cocoa Powder Processed With Alkali, Rapeseed Oil, Calcium Carbonate, Natural Flavors, Sea Salt, Tricalcium Phosphate, Dicalcium Phosphate, Riboflavin, Vitamin A, Vitamin D2, Vitamin B12",Unknown
Sparkling Water,$1.29,3 servings per container,12 fl oz (355 ml),0,"spring water, co2, natural flavors.",Unknown
Organic Raspberry Lemonade,$1.99,16 fl oz,1 bottle (473 ml),180," Filtered Water, Organic Sugar, Organic Raspberry Puree, Organic Lemon Juice Concentrate, Organic Natural Flavors.",Unknown
Brooklyn Filter Blend Coffee,$13.99,12 oz,Unknown,Unknown,Coffee,Unknown
Tulsi Infusion Tea: Hibiscus,$5.69,1.27 oz,Unknown,Unknown,Other  Organic Phalsa Berry Flavor,Unknown
Grapefruit Sparkling Water,$1.09,12 fl oz,1 can (355 ml),17," Carbonated Water, Fresh Grapefruit Juice, Fresh Orange Juice, Fresh Lemon Juice, Hibiscus (For Color)",Unknown
Echinacea Ginseng Ginkgo Guarana Green Tea,$2.99,20 fl oz,8 fl oz (240 ml),100," Filtered Water, Cane Sugar, Green Tea, Citric Acid, Natural Flavors, Ginseng",Unknown
Chameleon Organic Cold-brew Vanilla Coffee,$3.99,10 fl oz,1 bottle,50,"organic cold brew coffee (water, organic coffee), organic sugar, organic natural flavors",Unknown
Sparkling Water,$1.29,3 servings per container,12 fl oz (360 ml),0,"spring water, carbon dioxide, natural flavors.",Unknown
Mango Nectar,$8.99,33.8 fl oz,8 fl oz (240 ml),140," Water, Mango Puree 35%, Sugar, Lemon Juice from Concentrate",Unknown
Rw Knudsen Simply Nutritious Morning Blend,$5.69,32 fl oz,8 fl oz (240 ml),120," Filtered Water (Sufficient To Reconstitute); Pineapple, and Orange Juice Concentrates; Papaya Puree; Peach Juice Concentrate; Ascorbic Acid (Vitamin C); Vitamin E Acetate (Vitamin E); Beta-carotene (Pro-vitamin A); Natural Flavor.",Unknown
Acai Aminolean Dietary Supplement,$31.49,7.94 oz,Unknown,Unknown,Unknown,Unknown
Organic Turmeric Single Sip Tea,$22.49,14 servings per container,1 stick (5 g),20," Organic Turmeric Root Powder, Organic Agave Inulin, Organic Ginger, Organic Vanilla Flavor, Cinnamon Bark Extract, Black Pepper Extract and Natural Flavor",Unknown
Apricot Stomp Juice,$8.39,32 fl oz,8 fl oz (240 ml),120," Apples, Apricots, Ascorbic Acid (Antioxidant)",Unknown
Ginger Soother,$7.49,12 fl oz,12 fl oz (360 ml),120," Filtered Water, Honey, Ginger Juice, Lemon Juice",Unknown
Organic Turmeric Ginger Chai Tea Concentrate,$6.39,32 fl oz,4 fl oz (120 ml),70," Filtered Water, Organic Cane Sugar, Organic Ginger Root, Organic Turmeric Root, Organic Lemongrass, Organic Lemon Juice Concentrate, Organic Black Pepper.",Unknown
Pomegranate Hibiscus Ginger Ale 4 Pack,$8.99,4 servings per container,12 fl oz (355 ml),160," Carbonated Water, Organic Cane Sugar, 100% Fresh Ginger, Pomegranate Juice Concentrate, Brewed Hibiscus With Filtered Water, Fresh Lemon Juice, Fruit and Vegetable Juice For Color, and Citric Acid",Unknown
Sparkling Apple Juice,$2.49,10 fl oz,10 fl oz (296 ml),180," Pasteurized 100% Pure Carbonated Apple Juice from U., S., Grown Fresh Apples, Vitamin C, No Water, No Concentrates, No Sweeteners, No Chemical Preservatives., Natural Sediment May Occur",Unknown
Cola 4 Pack,$8.99,4 servings per container,12 fl oz (355 ml),95," Purified Sparkling Water, Cane Sugar, Natural Flavors, Caramel Color (from Sugar), Lactic Acid, Citric Acid, Cola Nut Extract",Tree Nuts
Elderberry Juice,$11.99,16.9 fl oz,8 fl oz (240 ml),120," Organic Elderberry Juice, Organic Elderflower Infusion, Organic Agave Nectar",Unknown
Organic Mango Clementine,$2.49,18 fl oz,Unknown,Unknown," Filtered Water, Organic Coconut Water from Concentrate (Water Sufficient To Reconstitute, Organic Coconut Water Concentrate), Organic Erythritol, Organic Cane Sugar, Organic Natural Flavors, Citric Acid, Sea Salt, Beta Carotene For Color, Ascorbic Acid (Vitamin C), Potassium Citrate, L-malic Acid, Organic Stevia Leaf Extract, D-calcium Pantothenate (Vitamin B-5), D-alpha-tocopheryl Acetate (Vitamin E), Retinyl Palmitate (Vitamin A), Pyridoxine Hydrochloride (Vitamin B-6), Cyanocobalamin (Vitamin B-12).",Tree Nuts
Bloody Mary Mixer,$14.29,32 fl oz,4 fl oz (120 ml),25," Water, Distilled Vinegar, Tomato Paste, Cucumber Juice, Salt, Peppers, Garlic, Dill, Black Pepper",Unknown
Cider Juice 128oz,$7.99,16 servings per container,8 fl oz (236 ml),120, Ny Apples,Unknown
Orange Mango Soda,$2.29,12 fl oz,12 fl oz (355 ml),40," Carbonated Filtered Water, Organic Juice Blend from Concentrate (Pear, Orange, Lime and Mango), Natural Flavor, Citric Acid, Organic Chili Powder, Sea Salt, Beta Carotene, Live Probiotic (Bacillus Subtilis).",Unknown
Lemon & Ginger,$6.49,1.3 oz,1 tea bag (2.5 g),10," Ginger, Lemongrass, Lemon Peel, Liquorice Root.",Unknown
Honeycrisp Apple Cider,$5.69,8 servings per container,8 fl oz (240 ml),110, Honeycrisp Apples,Unknown
Just Blueberry Juice,$10.49,32 fl oz,8 fl oz (240 ml),90," Filtered Water (Sufficient To Reconstitute), Blueberry Juice Concentrate.",Unknown
English Breakfast,$6.49,1.76 oz,1 tea bag (3.3 g),0, Black Tea.,Unknown
Mint Medley Herbal Tea,$3.99,Unknown,Unknown,Unknown,"Carefully Selected Ingredients Peppermint Leaves, Spearmint Leaves, Rose Hips, Lemon Peel, Hibiscus",Unknown
Rw Knudsen Organic Grapefruit Juice,$8.79,32 fl oz,8 fl oz (240 ml),120, Organic Grapefruit Juice.,Unknown
Vietnamese Vanilla Pour Over Coffee Kit,$11.99,7.4 oz,1 creamer packet (30 g),100,Unknown,Unknown
Still Rainwater 16oz Can (Single),$1.39,Unknown,Unknown,Unknown,Contents: Rain,Unknown
Guava Nectar,$8.29,33.8 fl oz,8 fl oz (240 ml),130," Water, Guava Puree 25%, Sugar, Lemon Juice from Concentrate",Unknown
Immunity Boost Carton,$39.99,1 servings per container,1 bottle (59 ml),20,"Organic Pineapple Juice, Organic Ginger Root Juice, Organic Turmeric Root Juice, Organic Lemon Juice, Organic Echinacea Purpurea Juice, Organic Ground Black Pepper",Unknown
Biodynamic Turmeric Cinnamon Tea,$16.29,1.8 oz,Unknown,Unknown," 100% Biodynamic, Organic Cinnamon and 100% Biodynamic, Organic Turmeric",Unknown
Honeycrisp Apple Cider,$4.99,5 servings per container,12 fl oz (355 ml),150, Honeycrisp Apples,Unknown
Decaf Earl Greyer Tea,$14.99,2.65 oz,Unknown,Unknown,Decaffeinated Black Tea and Natural Bergamot Oil,Unknown
Organic Cooking Grade Matcha,$20.99,3.52 oz,Unknown,Unknown, 100% Organic Matcha Green Tea Powder,Unknown
PURE Black Cherry,$7.99,32 fl oz,8 fl oz (240 ml),170,Ingredient: Black (Dark Sweet) Cherry Juice.,Unknown
