Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Organic Lemon Berry 16oz,$4.49,1 servings per container,1 bottle,60," Gt's Kombucha*, (Kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), A Strawberry Juice*, Blueberry Juice*, Raspberry Juice*, Meyer Lemon Juice*, Fresh Pressed Lime Juice*, and 100% Pure Love!!!",Unknown
Gingerberry 16oz,$4.49,473 ml,1 bottle,50,"Gt's Kombucha*, (Kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Blueberry Juice*, Fresh Pressed Ginger Juice* and 100% Pure Love!!!, *Organically Produced",Unknown
Organic Mighty Dozen Juice,$10.99,46 fl oz,8 fl oz (237 ml),50," Organic Apple Juice, Organic Celery Juice, Organic Cucumber Juice, Organic Kale Juice, Organic Collard Greens Juice, Organic Lemon Juice, Organic Mint Tea (Purified Water, Organic Peppermint Tea Leaf, Organic Spearmint Tea Leaf), Organic Ginger Juice, Organic Spinach Juice, Organic Spirulina Powder, Organic Chlorella Powder, Organic Barley Grass Powder",Unknown
Original Oatmilk,$7.78,32 fl oz,1 cup (240 ml),120," Oat Base (Water, Oats)., Contains 2% or Less of: Low Erucic Acid Rapeseed Oil, Dipotassium Phosphate, Calcium Carbonate, Tricalcium Phosphate, Sea Salt, Dicalcium Phosphate, Riboflavin, Vitamin A, Vitamin D2, Vitamin B12.",Unknown
PURE Cranberry Organic,$14.49,32 fl oz,8 fl oz (240 ml),80,Ingredient: Organic Cranberry Juice.,Unknown
Natural Artesian Water (1 L),$2.79,1 servings per container,Unknown,Unknown,Water,Unknown
Espresso Concentrate,$12.49,32 fl oz,Unknown,Unknown," Organic Cold Brew Coffee (Water, Organic Coffee)",Unknown
Organic Strawberry Serenity 16oz,$4.49,Unknown,1 bottle,60," Gt's Kombucha* (Kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Strawberry Juice*, and 100% Pure Love!!!",Unknown
Strawberry Lemon Prebiotic Soda - 12 fl oz Can,$4.44,Unknown,1 can,25,"sparkling water, organic cane sugar, organic apple cider vinegar, organic agave inulin, natural flavors, lemon juice*, strawberry juice*, stevia.",Unknown
Water Ph 8.8,$5.29,11 servings per container,12 oz (360 ml),0," Purified Water, Pink Himalayan Rock Salt",Unknown
Orange Juice with Pulp,$8.79,52 fl oz,8 oz,110,Organic Orange Juice and Organic Orange Pulp.,Unknown
New Orleans-style Cold Brew Coffee Concentrate,$14.79,32 fl oz,4 fl oz (120 ml),10," Water, Coffee, Chicory, Spices",Unknown
Watermelon Sparkling Water 12pk,$6.49,12 servings per container,1 can,0," Only Carbonated Water, Naturally Essenced*.",Unknown
Calcium And Vit D Orange Juice,$5.37,59 fl oz,8 fl oz (240 ml),110," Organic Juice, Calcium Lactate, Tricalcium Phosphate, Vitamin D3.",Unknown
